Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.00810347 -0.00348856  0.00894352 -0.00310105],"[array([-9.99189653e+00, -3.48856085e-03,  8.94352136e-03, -3.10105279e-03])]",0.012939837108548052,1500,1,plot4D1-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.01832697  0.00556764 -0.00154141 -0.00879397],"[array([-9.98167303e+00,  5.56764164e-03, -1.54141192e-03, -8.79396598e-03])]",0.021132589150988697,1500,1,plot4D2-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.00398854 -0.0018912   0.01329807  0.00991423],"[array([-9.99601146e+00, -1.89119610e-03,  1.32980691e-02,  9.91423476e-03])]",0.017164374535562844,1500,1,plot4D3-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.01098971 -0.01448155 -0.00049767  0.00706917],"[array([-9.98901029e+00, -1.44815494e-02, -4.97669368e-04,  7.06917347e-03])]",0.019511788182190855,1500,1,plot4D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[0.00508376 0.0068873  0.01183444 0.00168284],"[array([-9.99491624e+00,  6.88729726e-03,  1.18344447e-02,  1.68283718e-03])]",0.014702568800875783,1500,1,plot4D5-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[5.66579219e-05 4.85914460e-03 1.41176986e-02 6.17404400e-03],"[array([-9.99994334e+00,  4.85914460e-03,  1.41176986e-02,  6.17404400e-03])]",0.01615681678046019,1500,1,plot4D6-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.46464358  0.09665427  0.23836589  0.08136599],"[array([-0.05081864, -0.26997791, -0.23054781, -0.26684185]), array([-0.41814301, -0.03731766, -0.04012697, -0.31445706]), array([-0.46980767,  0.29977475,  0.07621135,  0.10651881]), array([-0.30478613,  0.41311514, -0.08583265,  0.21209401]), array([ 0.21387558, -0.23438511,  0.16310062,  0.08841785]), array([-0.10794071,  0.20512189,  0.21844779, -0.01525403]), array([ 0.00330695, -0.15210174,  0.27510592, -0.12576998]), array([-0.51991329,  0.45157275, -0.03466692,  0.05391613]), array([-0.02431189, -0.10483259, -0.10163895, -0.0835133 ]), array([-0.766663  ,  0.24645823, -0.13197784,  0.1133709 ]), array([-0.30579125, -0.06247723, -0.00638531,  0.00927856]), array([-0.09031264,  0.14814954,  0.20347868, -0.02480225]), array([-0.34772193, -0.15443578, -0.11767272,  0.06421994]), array([0.15120648, 0.09777402, 0.29847146, 0.08002351]), array([-0.06511929,  0.07356178,  0.36267116, -0.26916278]), array([-0.4340261 ,  0.21312241, -0.15612752,  0.02392785]), array([-0.35127094, -0.24266999,  0.01160759, -0.17347211]), array([-0.37017308, -0.07805965, -0.12174953,  0.07027231]), array([-0.47851834, -0.01661444,  0.04501644, -0.03259688]), array([-0.4111847 ,  0.50295945, -0.13216545,  0.19153803]), array([ 0.09466546, -0.1669395 ,  0.28332011, -0.00230589]), array([-0.24900487,  0.45350468, -0.09745848,  0.12387678]), array([ 0.02281099, -0.06519138,  0.10915418,  0.11343331]), array([-0.00480632, -0.05150681,  0.20049124,  0.11661187]), array([-0.11309225, -0.10860216,  0.01033613, -0.04381179]), array([-0.34370572, -0.30917152, -0.12001436, -0.13971784]), array([-0.31644102, -0.21872621, -0.07416294, -0.25465166]), array([-0.43750502, -0.09580375, -0.28041581,  0.06547746]), array([-0.31124039,  0.46516957, -0.00725229,  0.12510426]), array([-0.13965389, -0.1903293 , -0.23297691, -0.0406095 ]), array([-0.25086359, -0.19352397, -0.14041835,  0.19376542]), array([ 0.23048858,  0.01498534,  0.42360131, -0.05153284]), array([-0.27756264,  0.32844934,  0.02716419,  0.15738747]), array([-0.44962314, -0.31392234, -0.11983052,  0.21340632]), array([-0.4485077 , -0.25757282, -0.07059508,  0.08691865]), array([-0.3291687 ,  0.2500117 , -0.07902461,  0.13073122]), array([-0.00903649, -0.39431912, -0.23905334, -0.11094096]), array([0.17673592, 0.02839402, 0.38129471, 0.01025169]), array([-0.45686072,  0.16993879, -0.22008045, -0.08703907]), array([-0.27936561, -0.15785187, -0.127612  , -0.08029899]), array([-0.36067359, -0.23107583, -0.10517901,  0.05855854]), array([ 0.17678294, -0.3119965 ,  0.13893729,  0.11759935]), array([-0.18691729, -0.24191341, -0.03179834, -0.27214345]), array([ 0.02701126,  0.16076205,  0.3406163 , -0.29371895]), array([-0.28161919,  0.33597747, -0.06804249,  0.22867849]), array([-0.32780454, -0.19871339, -0.06359908, -0.07013507]), array([ 0.04892229, -0.11781375,  0.16989763,  0.07362444]), array([-0.52049472,  0.21569711, -0.26415245,  0.00513908])]",0.5372843083266674,1500,48,plot4D1-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[ 0.01719316 -0.24123717  0.12969435 -0.04401262],"[array([-0.30847699,  0.01900747, -0.03210114, -0.26119514]), array([ 0.1024302 , -0.1030507 ,  0.13730749,  0.02928942]), array([-0.62412289,  0.34346719, -0.40899372,  0.19059814]), array([ 0.02710895,  0.00072422, -0.01415359, -0.44986064]), array([ 0.09420621, -0.14017719, -0.28454977, -0.2633623 ]), array([-0.59540483,  0.4730551 , -0.04461913,  0.30547374]), array([-0.19460529, -0.10734843, -0.01305093, -0.2576911 ]), array([-0.10749221, -0.17647024,  0.20127334, -0.10772848]), array([-0.32131001,  0.07019051,  0.34598559,  0.55681428]), array([-0.60311743, -0.29668792,  0.01854429,  0.1457385 ]), array([-0.69789446,  0.2677111 , -0.07678668,  0.32481797]), array([-0.08170398, -0.29351948, -0.05210065,  0.06217345]), array([-0.21493083, -0.21586641, -0.16994561, -0.30689977]), array([-0.68824306,  0.24541058, -0.14852774,  0.39587679]), array([-0.43397369,  0.21576313, -0.04573122,  0.22682953]), array([-0.53794298,  0.26003178,  0.15743146,  0.38223113]), array([-0.3098398 , -0.18598369, -0.23184332, -0.34125233]), array([-0.33705594,  0.06448687,  0.36187894,  0.3959303 ]), array([-0.62104623,  0.15388362,  0.24613623, -0.09694246]), array([-0.62560214,  0.16091847, -0.08636343,  0.32508322]), array([-0.28492171, -0.01396286,  0.34899388,  0.45964721]), array([ 0.08140264,  0.19989462, -0.09041167, -0.43338172]), array([-0.58913138,  0.32011021,  0.05748923,  0.34508996]), array([-0.25704644, -0.35776234, -0.20131743, -0.41320586]), array([-0.1927182 , -0.33630358, -0.08474485, -0.38124027]), array([-0.2964399 , -0.35748488, -0.14165655, -0.32961478]), array([-0.45667526,  0.16647743, -0.00820217,  0.47915134]), array([ 0.10477159, -0.15875866, -0.18652284, -0.337535  ]), array([-0.27714382, -0.13224205, -0.13163371, -0.24765983]), array([-0.15992822, -0.08509474,  0.10297798, -0.07259661]), array([-0.284933  , -0.28718401,  0.10783372, -0.46350601]), array([ 0.06624586,  0.12355526, -0.03638213, -0.45901696]), array([-0.24779856,  0.04743019,  0.31474651,  0.58415199]), array([-0.10947303, -0.12545774,  0.21873395, -0.03022034])]",0.2779365234887704,1500,34,plot4D2-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.00782788 -0.08593302  0.25601332  0.13948068],"[array([-0.38259383,  0.12585208,  0.01194076, -0.07001519]), array([-0.28788802,  0.13236509, -0.10654288,  0.05437876]), array([-0.32023976, -0.00326081,  0.06081783, -0.17044749]), array([-0.46124218,  0.17249501, -0.04020212,  0.26392759]), array([-0.27116193,  0.21039008, -0.08339078,  0.35050778]), array([-0.2909366 , -0.12759551, -0.31369167, -0.02374736]), array([ 0.03648659, -0.00163279,  0.00101398, -0.03974916]), array([-0.60698621, -0.02775412,  0.1101379 ,  0.04746969]), array([-0.39541149, -0.12611589,  0.11675646, -0.08621408]), array([-0.07692844,  0.04754718, -0.01700848,  0.17126414]), array([-0.16095283, -0.11964797, -0.10230182, -0.09023385]), array([-0.28181486, -0.04739879, -0.08498008, -0.01625399]), array([-0.37402731, -0.00778069, -0.05142981, -0.05237996]), array([-0.20465378, -0.01677254,  0.05841177,  0.12764264]), array([-0.20350052, -0.01061247,  0.11582462, -0.16481237]), array([-0.16144577,  0.00261284, -0.101327  ,  0.08001591]), array([-0.40892153, -0.14228379,  0.02677282, -0.0852726 ]), array([-0.15809929, -0.05023627, -0.08952793, -0.11363951]), array([-0.49496937, -0.00530826,  0.14902783,  0.03762324]), array([-0.23774345,  0.10977942, -0.03989325, -0.14046996]), array([-0.02338617, -0.03765985,  0.04878661, -0.0168759 ]), array([-0.11145852,  0.03317406,  0.03322993, -0.05428159]), array([-0.28203804, -0.01179085,  0.21156485,  0.11946177]), array([-0.1246616 , -0.06992288, -0.00156491, -0.10665269]), array([-0.3495176 ,  0.05906922,  0.31353602, -0.02735134]), array([-0.14768854,  0.03450968, -0.00203792, -0.06617986]), array([-0.3352622 ,  0.05606237, -0.05522301, -0.01269003]), array([-0.27485175, -0.08598573, -0.05792279, -0.00273898]), array([-0.31951965,  0.01625856,  0.36685834, -0.04614004]), array([-0.34782517,  0.13179754, -0.1478835 ,  0.07613669]), array([-0.44596807,  0.19545849, -0.02105314,  0.26246341]), array([-0.35656796, -0.13748301, -0.23735013, -0.03159655]), array([-0.31304831, -0.07002249, -0.20964359, -0.04162693]), array([-0.31723434, -0.26107455,  0.11122704,  0.04195341]), array([-0.13166385, -0.02431118, -0.06530375, -0.0795607 ]), array([-0.38410551, -0.02865422,  0.34838513,  0.04556576])]",0.30404512882657464,1500,36,plot4D3-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.08878688 -0.02847152  0.22992605 -0.05153339],"[array([-0.34744055, -0.20637226, -0.20705412, -0.03090351]), array([-0.4988273 ,  0.03793919, -0.19685641,  0.07895016]), array([ 0.19059621, -0.2085974 ,  0.00413   ,  0.11409769]), array([-0.16041811,  0.26779589, -0.1051753 , -0.12134877]), array([-0.56881151,  0.07756127, -0.21926282,  0.18653296]), array([-0.78578414,  0.19778743,  0.12281048, -0.20700292]), array([-0.26718405,  0.01498491, -0.05524081, -0.1199779 ]), array([ 0.06763811,  0.18823195, -0.11495168,  0.16839211]), array([-0.37765067, -0.35223581, -0.0414655 ,  0.13523741]), array([-0.3618569 ,  0.07373734,  0.30648814, -0.30360248]), array([-0.15423001, -0.11573048,  0.45905778,  0.04715019]), array([-0.55662904,  0.0239726 , -0.25954647,  0.06640821]), array([-0.29203806, -0.00715371,  0.19011159, -0.31606934]), array([-0.00525029,  0.11518069,  0.06525097,  0.10617541]), array([-0.31658193, -0.1916692 , -0.12386378, -0.02233604]), array([-0.2997919 , -0.20861454,  0.27171878,  0.04601129]), array([-0.57849232,  0.11271456, -0.26429661,  0.15623238]), array([-0.7292008 ,  0.18650833, -0.24500336,  0.11353568]), array([-0.69168454,  0.09263496, -0.21364882,  0.13079569]), array([-0.22115219, -0.01632308,  0.12740363, -0.25480954]), array([-0.170587  , -0.20612484,  0.20838392, -0.02339866]), array([-0.50206982,  0.10792041, -0.25204115,  0.09248028]), array([-0.21435643, -0.103058  ,  0.22904699, -0.08603472]), array([-0.27752532,  0.10755531,  0.42518141, -0.24034652]), array([-0.67530199,  0.09363058, -0.22524141,  0.16657853]), array([-0.38105564, -0.09073218,  0.34335853, -0.30036376]), array([-0.22964129, -0.17621772,  0.16131004,  0.15831109]), array([-0.6834594 ,  0.1562023 , -0.16067795,  0.20777169])]",0.25340761354217706,1500,28,plot4D4-Model
