Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[-0.02581187 -0.00901051 -0.01926336 -0.02581852 -0.0053239  -0.02252704],"[array([-1.00258119e+01, -9.01050948e-03, -1.92633612e-02, -2.58185247e-02,
       -5.32389866e-03, -2.25270384e-02])]",0.048175995237524055,1250,1,plot6D1-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[0.00821305 0.00144694 0.02221131 0.01069287 0.00048411 0.00596794],"[array([-9.99178695e+00,  1.44693567e-03,  2.22113089e-02,  1.06928739e-02,
        4.84109785e-04,  5.96793913e-03])]",0.026703526472335336,1250,1,plot6D2-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[ 0.0198552   0.01360249  0.0086519  -0.00540513  0.01564841  0.01599749],"[array([-9.98014480e+00,  1.36024907e-02,  8.65190169e-03, -5.40512771e-03,
        1.56484112e-02,  1.59974884e-02])]",0.034411043194032376,1250,1,plot6D3-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[-0.03511807  0.02030335 -0.00373442  0.00476361  0.00860849  0.0130794 ],"[array([-1.00351181e+01,  2.03033537e-02, -3.73442358e-03,  4.76360899e-03,
        8.60849084e-03,  1.30793986e-02])]",0.04390124922003754,1250,1,plot6D4-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[ 0.00561239  0.01738239 -0.00414517  0.01007237 -0.00765694  0.0031657 ],"[array([-9.99438761e+00,  1.73823915e-02, -4.14516964e-03,  1.00723680e-02,
       -7.65693618e-03,  3.16569935e-03])]",0.022823931437072523,1250,1,plot6D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[ 0.02475359  0.00487947 -0.01712036  0.00849192 -0.0100369   0.00308724],"[array([-9.97524641e+00,  4.87947175e-03, -1.71203578e-02,  8.49192190e-03,
       -1.00369044e-02,  3.08723824e-03])]",0.03334725348462367,1250,1,plot6D6-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.5,0.5,0.001,[ 0.24750907  0.26320456 -0.2605229   0.13806913  0.0868108  -0.54322576],"[array([-0.55329173, -0.0794301 ,  0.16983906,  0.06216866,  0.08086583,
       -0.05310449]), array([-0.84714425, -0.18366344, -0.46101214, -0.14147425, -0.36149601,
       -0.20879972]), array([-0.54854515, -0.01502683,  0.15743011,  0.21345045,  0.61096752,
        0.3706568 ]), array([-0.04953785,  0.29946836, -0.18209556,  0.05519034, -0.19480425,
       -0.33331345]), array([ 0.00890788, -0.28203294, -0.1935919 , -0.10862063, -0.3187749 ,
       -0.09327085]), array([-0.52468578, -0.01188608, -0.26345452, -0.17673913, -0.24156702,
       -0.09930568]), array([-0.50488941,  0.03701132,  0.14095454,  0.11937784, -0.09842465,
       -0.01107435]), array([-0.23862866,  0.31673647,  0.34498797, -0.13487089,  0.07484023,
       -0.16985241]), array([-0.32801453,  0.43505241,  0.2477185 , -0.03161329, -0.14645313,
       -0.10451868]), array([-0.18960613,  0.10319619,  0.21097032,  0.09114397,  0.38494585,
        0.20743622]), array([-0.20808799,  0.1211912 ,  0.19231863, -0.12457155,  0.36664659,
        0.23004252]), array([-0.2433145 ,  0.11770401,  0.33335389,  0.09834236,  0.28315634,
        0.21000088]), array([-0.67349736, -0.01184584,  0.00689649,  0.21267673,  0.21253796,
       -0.19814938]), array([-0.54521058, -0.1067062 , -0.01082491,  0.37833701,  0.71347033,
        0.44647601]), array([-0.55362893,  0.30222779,  0.01964377,  0.06444437,  0.04227936,
       -0.02532639]), array([-0.07212969, -0.30423568, -0.27331578, -0.1991425 , -0.35197059,
       -0.17794224]), array([-0.00410701, -0.19759777, -0.13413125, -0.21452343, -0.22139893,
       -0.08778525]), array([-0.02683384, -0.2371855 , -0.16298525, -0.23825673, -0.24139278,
        0.0620391 ]), array([-0.69713658,  0.00455486, -0.05730913,  0.11221175, -0.14321383,
       -0.21874231]), array([-0.64056992,  0.08712711, -0.00914027,  0.10682278, -0.05294055,
       -0.09927722]), array([-0.74319421, -0.17535761, -0.40796415, -0.18288331, -0.23084335,
       -0.26896479]), array([-0.40627675, -0.02856452, -0.15160036,  0.13327777, -0.07965715,
        0.19239711]), array([-0.69380966,  0.2024321 ,  0.08714273,  0.06645591,  0.00512475,
       -0.05414371]), array([-0.46925829, -0.12996473,  0.13564629, -0.02313511, -0.00508683,
       -0.05870347])]",0.7211816653807149,1250,24,plot6D1-Model
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.5,0.5,0.001,[ 0.28453269  0.13005052  0.13853761 -0.02118196 -0.23779806  0.09592545],"[array([-0.50847576, -0.10458209, -0.34663162,  0.09514277, -0.36877275,
        0.05532901]), array([-0.97524398, -0.03160234,  0.09309207,  0.12374593, -0.22323383,
        0.47920245]), array([-0.7355057 , -0.19837848, -0.02775936,  0.02922569,  0.01239433,
       -0.334614  ]), array([-0.55847578,  0.17250211,  0.06342113, -0.03058428,  0.04602769,
       -0.0814344 ]), array([-1.06408909,  0.07105182,  0.24345467, -0.049731  , -0.04861006,
        0.47182719]), array([-0.68404866, -0.10997599, -0.21400037,  0.37367356, -0.4070888 ,
        0.11799599]), array([-0.68304002,  0.05093412,  0.22245764, -0.10650924,  0.24887687,
       -0.17455984]), array([-0.7065128 ,  0.10631114, -0.05180044, -0.12906129,  0.10052272,
       -0.08693179]), array([-0.6705332 , -0.05567812, -0.09495042,  0.01311902,  0.23665362,
       -0.07707849]), array([-0.59904689, -0.04434195,  0.31776843, -0.14104719,  0.13220277,
       -0.05895861]), array([-0.63352926, -0.00137535, -0.45461387,  0.18964416, -0.2632484 ,
        0.06266854]), array([-0.57093879,  0.08673002,  0.25468619, -0.14224183,  0.09253246,
       -0.06230295]), array([-0.69835634,  0.17205859, -0.04638472, -0.04096774,  0.06904939,
       -0.13876371]), array([-0.62767105,  0.01639705,  0.17979828, -0.20559052,  0.13489592,
       -0.07645396])]",0.42809221622086824,1250,14,plot6D2-Model
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.5,0.5,0.001,[-0.05270759  0.07900944  0.15978517  0.26963427  0.12348985 -0.0463554 ],"[array([-0.60864692, -0.34561143, -0.11873624, -0.09246657, -0.16903736,
       -0.04282343]), array([-0.72012666,  0.44201776, -0.0267325 , -0.01287423, -0.09016664,
        0.00739034]), array([-0.5907829 , -0.02650674,  0.10203834,  0.13105793,  0.03088093,
        0.06642755]), array([-0.5309004 , -0.30135294, -0.14855329,  0.0658988 , -0.05019577,
       -0.02136201]), array([-0.67743028,  0.02344182, -0.08549102,  0.0802449 ,  0.09043172,
       -0.02360137]), array([-0.76465272,  0.4499908 ,  0.19457558, -0.05091418, -0.0119449 ,
       -0.02769509]), array([-0.8908239 , -0.01837464,  0.13316636,  0.09745955,  0.02412991,
        0.19262645]), array([-0.97766066,  0.19925857,  0.06102606,  0.01143126, -0.10851436,
        0.06157872]), array([-0.75234141, -0.2396714 , -0.24369595, -0.07226947, -0.01149724,
       -0.41268193]), array([-0.74585321,  0.35414087,  0.1040227 , -0.03107702, -0.0115694 ,
       -0.15845819]), array([-0.7080673 ,  0.03695594,  0.10271069, -0.03495491,  0.11780463,
        0.26634976]), array([-0.63110343, -0.28435379, -0.18461462,  0.00670125,  0.14016079,
       -0.28685136]), array([-0.7591947 , -0.04373176,  0.14597998,  0.08307726,  0.05552992,
        0.21232924]), array([-0.69512308, -0.16719361,  0.12408907,  0.0883197 ,  0.11747762,
        0.12041593])]",0.35306244071713194,1250,14,plot6D3-Model
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.5,0.5,0.001,[-0.42221516  0.08970862 -0.23780855 -0.19866203 -0.41896292 -0.12095908],"[array([-0.43991947,  0.20297411, -0.00177298, -0.04984353, -0.01358414,
       -0.20970065]), array([-0.54872226, -0.09310455,  0.17693518, -0.12463643, -0.09645179,
       -0.01700861]), array([-3.82584407e-01, -5.31380561e-01, -4.02339193e-01, -7.01623028e-02,
       -8.90472293e-06,  1.73846606e-01]), array([-0.72680022,  0.15536041,  0.02355957,  0.15255795,  0.33255526,
        0.14794623]), array([-0.32793507, -0.37532415, -0.22601043,  0.00586396, -0.1147659 ,
       -0.15578353]), array([-0.34791923, -0.01976248,  0.16102075,  0.06738765, -0.05958585,
       -0.04322623]), array([-0.70580464,  0.20243161, -0.05353493,  0.10986693,  0.33868092,
        0.11164501]), array([-0.35042341,  0.06253616,  0.05269145, -0.00480336, -0.26958333,
        0.08426644]), array([-0.44477703, -0.18431353, -0.04002395,  0.03486687,  0.444872  ,
        0.02712928]), array([-0.3442402 , -0.53275724, -0.25754715, -0.10891115, -0.02187307,
        0.11924005]), array([-0.49932181, -0.01120472,  0.13915763, -0.2459777 ,  0.07778305,
        0.05006048]), array([-0.7223935 ,  0.37339369, -0.15330203, -0.06900132, -0.45663192,
        0.12932673]), array([-0.42987152, -0.08622395,  0.18701455, -0.0560973 , -0.13559389,
       -0.01540411]), array([-0.27188643,  0.05124726,  0.05364426,  0.2089323 ,  0.22680871,
       -0.07046828]), array([-0.43123578,  0.34765042,  0.02772861, -0.04188277,  0.08892009,
       -0.23672871]), array([-0.79655756,  0.36818472, -0.10307592, -0.10364437, -0.24224719,
       -0.10743843]), array([-0.41664115,  0.01290671,  0.29090818, -0.05087821, -0.11852288,
        0.01365714]), array([-0.20497907, -0.40846056, -0.19442679, -0.03758501, -0.15020096,
       -0.12007836]), array([-0.41159245,  0.03206445, -0.0262075 , -0.07793935, -0.18890659,
        0.00967547]), array([-0.17822085,  0.11902593,  0.11308054,  0.16838526,  0.14612077,
       -0.16051415]), array([-0.71171377,  0.28600925, -0.10000813, -0.12540471, -0.47189443,
        0.13783265]), array([-0.72867533,  0.1184556 ,  0.09469972,  0.22024456,  0.26514715,
        0.01076593])]",0.6873818526381622,1250,22,plot6D4-Model
