Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[0.40545444 0.29622286],"[array([-9.59454556,  0.29622286])]",0.5021367161957669,500,1,plot2D1-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[0.16205031 0.02123729],"[array([-9.83794969,  0.02123729])]",0.16343600266607375,500,1,plot2D2-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[-0.01068264  0.0285186 ],"[array([-10.01068264,   0.0285186 ])]",0.0304537253451368,500,1,plot2D3-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[0.00544422 0.00186523],"[array([-9.99455578e+00,  1.86523153e-03])]",0.005754876275353894,500,1,plot2D4-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[0.36125018 0.02352344],"[array([-9.63874982,  0.02352344])]",0.3620152583353119,500,1,plot2D5-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[ 1.05524178 -0.13831242],"[array([-8.94475822, -0.13831242])]",1.0642676052653761,500,1,plot2D6-FGM
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[0.08030078 0.04368678],"[array([-0.43831375,  0.0844214 ]), array([-0.55780391, -0.01613217]), array([-0.35861208, -0.04122159]), array([-0.59248267,  0.13836684]), array([-0.33635005, -0.03924657]), array([-0.20055288, -0.23019137]), array([-0.47608179, -0.11245067]), array([-0.63570322,  0.36922198]), array([-0.54310765,  0.03348074]), array([-0.38804379, -0.26555796]), array([-0.71437542,  0.08665463]), array([-0.40032419, -0.17180322]), array([-0.43672323,  0.00960675]), array([-0.37947968, -0.11608247]), array([-0.43729151, -0.18008826]), array([-0.4782656 , -0.01108951]), array([-0.56412575,  0.22981534]), array([-0.24435017, -0.08267115]), array([-0.56488555,  0.43823139]), array([-0.44055744,  0.28155194]), array([-0.45443465, -0.18048973]), array([-0.27783423, -0.18063956])]",0.09141525734969465,500,22,plot2D1-Model
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[-0.0610167  -0.00010721],"[array([-0.35744385,  0.00470985]), array([-0.0892831 ,  0.29226697]), array([-0.4425182 ,  0.10230805]), array([-1.16828961, -0.29795751]), array([-0.6956007 , -0.36064268]), array([-0.91952337, -0.34123588]), array([-0.34522928, -0.17433556]), array([-0.16561707,  0.37104658]), array([-0.98518731, -0.31938948]), array([-0.11597506,  0.12133954]), array([-0.20603938,  0.06246869]), array([-0.14389028, -0.05322779]), array([-0.98945122, -0.29255729]), array([-0.22872081,  0.32880921]), array([-0.24003393,  0.33966765]), array([-0.26857918,  0.12537459]), array([-0.1863552 ,  0.05775144]), array([-0.44173431,  0.00771996]), array([-0.22465244,  0.02875846]), array([-0.41527176,  0.05413507]), array([-1.10001844, -0.19296199]), array([-0.33160219,  0.13584488])]",0.061016794717936786,500,22,plot2D2-Model
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[-0.0292456   0.06215867],"[array([-0.44765673, -0.30819603]), array([-0.53984421, -0.11312277]), array([-0.47745975,  0.19559022]), array([-0.47873333, -0.12727559]), array([-0.36697207,  0.20874167]), array([-0.47830156,  0.06232788]), array([-0.48098317, -0.34131156]), array([-0.51710538,  0.13684743]), array([-0.37658766, -0.27959205]), array([-0.572564  ,  0.04882218]), array([-0.55683765,  0.06582749]), array([-0.5356033 ,  0.06667381]), array([-0.63742314, -0.2634092 ]), array([-0.51533559, -0.12706157]), array([-0.24005884,  0.14691995]), array([-0.51639111,  0.07271227]), array([-0.18347528,  0.14810723]), array([-0.48058061,  0.24700757]), array([-0.52096187, -0.12589466]), array([-0.38194565, -0.11770127]), array([-0.26793191,  0.16393776]), array([-0.45649279,  0.30220793])]",0.06869501708731789,500,22,plot2D3-Model
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[-0.04042988 -0.06605906],"[array([-0.57614592, -0.0330589 ]), array([-0.50503652,  0.12470945]), array([-0.46554451, -0.0716467 ]), array([-0.26962282, -0.05196916]), array([-0.35107274,  0.00087074]), array([-0.41476772, -0.14023382]), array([-0.54354066, -0.07303087]), array([-0.43758516,  0.09919404]), array([-0.52468821,  0.05292242]), array([-0.35131076, -0.26219193]), array([-0.53820022,  0.23873641]), array([-0.45903962, -0.0323876 ]), array([-0.51359101,  0.06663448]), array([-0.47898962,  0.10777509]), array([-0.33139086,  0.00446836]), array([-0.49321492, -0.14272666]), array([-0.44431012,  0.07655717]), array([-0.52306023,  0.18804591]), array([-0.48332452,  0.09185769]), array([-0.4037536 , -0.32199245]), array([-0.42341594, -0.13139166]), array([-0.50882423,  0.14279892])]",0.07744917930323067,500,22,plot2D4-Model
