Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.05,0.0,0.0,0.001,[-0.00141972],[array([-10.00141972])],0.0014197201985464147,500,1,plot1D1-FGM
[10.0],1,0.05,0.0,0.0,0.001,[-0.00183777],[array([-10.00183777])],0.0018377651817704788,500,1,plot1D2-FGM
[10.0],1,0.05,0.0,0.0,0.001,[0.9246652],[array([-9.0753348])],0.9246652016833039,500,1,plot1D3-FGM
[10.0],1,0.05,0.0,0.0,0.001,[-0.00165718],[array([-10.00165718])],0.001657179236755013,500,1,plot1D4-FGM
[10.0],1,0.05,0.0,0.0,0.001,[0.00064894],[array([-9.99935106])],0.000648943369258248,444,1,plot1D5-FGM
[10.0],1,0.05,0.0,0.0,0.001,[0.21288693],[array([-9.78711307])],0.2128869311906776,500,1,plot1D6-FGM
[10.0],1,0.05,0.5,0.5,0.001,[-0.00371107],"[array([-0.24573891]), array([-0.49157233]), array([-0.52864035]), array([0.11521881]), array([0.08964947]), array([-0.4140431]), array([-0.27424191]), array([-0.32344956]), array([0.01676487]), array([-0.10758836]), array([-0.46452439]), array([-0.0744323]), array([-0.49277627]), array([-0.06950195]), array([-0.3691841]), array([-0.00501544]), array([-0.03185719]), array([0.04467134]), array([-0.51717498]), array([-0.08646745]), array([-0.0137129]), array([-0.21055071]), array([-0.51801521]), array([-0.35530156]), array([-0.35005577]), array([-0.34576456]), array([0.07744889]), array([0.04617966]), array([-0.20409876]), array([0.01809886]), array([-0.02979715]), array([-0.37964179]), array([0.01012096]), array([0.05971124]), array([0.0600167]), array([-0.24853062]), array([-0.58364961]), array([-0.3407206]), array([0.00255052]), array([0.105688]), array([-0.46522721]), array([0.02268878]), array([-0.20660199]), array([-0.33654827]), array([0.01864451]), array([-0.38126136]), array([0.21555067]), array([-0.176993]), array([-0.38421087]), array([-0.33673513]), array([-0.50783953]), array([-0.03524915])]",0.003711065462047358,500,52,plot1D1-Model
[10.0],1,0.05,0.5,0.5,0.001,[0.00303416],"[array([0.03249681]), array([-0.70518902]), array([-0.17948519]), array([-0.14652728]), array([-0.34532076]), array([-0.41999364]), array([-0.29323329]), array([-0.39518395]), array([-0.63912255]), array([-0.3530898]), array([-0.105581]), array([-0.0604406]), array([-0.20854196]), array([-0.53795545]), array([0.16136089]), array([0.07800623]), array([-0.31530343]), array([-0.36567359]), array([0.16962965]), array([-0.29165664]), array([-0.32799602]), array([0.029831]), array([-0.25708739]), array([-0.68139787]), array([-0.36625603]), array([-0.18449086]), array([-0.33993055]), array([-0.32201569]), array([-0.11244099]), array([-0.33863935]), array([-0.26071605]), array([-0.15155014]), array([-0.33519964]), array([-0.57511014]), array([-0.07091223]), array([-0.17222599]), array([-0.14021841]), array([-0.28607197]), array([0.04596215]), array([-0.22969506])]",0.0030341558077466857,500,40,plot1D2-Model
[10.0],1,0.05,0.5,0.5,0.001,[0.00397327],"[array([0.12240321]), array([-0.36524499]), array([-0.27304648]), array([0.02025752]), array([-0.3075724]), array([-0.28293871]), array([-0.44675086]), array([-0.42736086]), array([-0.32583981]), array([0.04393139]), array([-0.26460663]), array([-0.08454429]), array([-0.22600272]), array([-0.40878277]), array([-0.48376543]), array([-0.16327767]), array([-0.25752814]), array([-0.28011289]), array([-0.33434128]), array([0.18839451]), array([-0.04480686]), array([-0.32822909]), array([-0.37470501]), array([0.02294652]), array([-0.04104574]), array([-0.01608246]), array([-0.37513774]), array([0.14904338]), array([-0.22174342]), array([-0.37327347]), array([-0.43514383]), array([-0.43397401]), array([0.05522104]), array([-0.49851391]), array([-0.28628922]), array([-0.27116116]), array([-0.29556293]), array([-0.47044107]), array([-0.31501019]), array([-0.42613844]), array([-0.06832835]), array([-0.39092144])]",0.003973272095642244,500,42,plot1D3-Model
[10.0],1,0.05,0.5,0.5,0.001,[0.00057777],"[array([-0.30502179]), array([-0.50483574]), array([-0.44957456]), array([-0.21307209]), array([-0.17617868]), array([0.1259136]), array([-0.29789416]), array([-0.88539893]), array([-0.68550524]), array([-0.55417873]), array([-0.28726038]), array([-0.03329305]), array([0.11534831]), array([-0.56309325]), array([-0.68557242]), array([0.01484474]), array([-0.61013152]), array([-0.5763455]), array([-0.64423878]), array([-0.59539884]), array([0.04673208]), array([-0.41918709]), array([-0.82249281]), array([-0.056187]), array([-0.31263684]), array([-0.62476354])]",0.0005777692764521447,160,26,plot1D4-Model
[10.0],1,0.05,0.5,0.5,0.001,[-0.00613504],"[array([-0.37531215]), array([-0.10254123]), array([-0.49173457]), array([-0.38906485]), array([-0.24869061]), array([-0.35836155]), array([-0.34960021]), array([-0.48383358]), array([-0.356495]), array([-0.16015565]), array([-0.29422451]), array([-0.30203132]), array([-0.18886706]), array([-0.20119235]), array([-0.31554172]), array([-0.39093269]), array([-0.33874593]), array([-0.31607414]), array([-0.48876122]), array([-0.28973092]), array([-0.42356164]), array([-0.22129513]), array([-0.2225713]), array([-0.19418004]), array([-0.42383969]), array([-0.25219102]), array([-0.36178367]), array([-0.3476358]), array([-0.36659301]), array([-0.25453516]), array([-0.17757608]), array([-0.31848121])]",0.006135041043979328,500,32,plot1D5-Model
[10.0],1,0.05,0.5,0.5,0.001,[-0.01737003],"[array([-0.37069458]), array([-0.12867276]), array([-0.09779116]), array([-0.34152435]), array([-0.09427718]), array([-0.41305276]), array([-0.57607402]), array([-0.52594159]), array([-0.02303555]), array([-0.49105277]), array([-0.35617157]), array([-0.85594293]), array([-0.04462781]), array([-0.39344301]), array([-0.62447019]), array([-0.38841355]), array([-0.55041275]), array([-0.3639112]), array([-0.15168489]), array([0.0161714]), array([-0.35821637]), array([-0.47387788]), array([-0.15102831]), array([-0.76453388]), array([-0.49688301]), array([-0.13238565]), array([-0.05546265]), array([-0.12325146]), array([-0.06926964]), array([-0.61743794])]",0.017370030522815938,500,30,plot1D6-Model
